time_s,ax1_g,ay1_g,az1_g,gx1_dps,gy1_dps,gz1_dps,ax2_g,ay2_g,az2_g,gx2_dps,gy2_dps,gz2_dps
0.000,-0.130296,0.002928,-0.968680,1.26,-2.94,0.35,-0.037576,-0.017080,-1.004792,1.26,-2.94,-0.42
0.020,-0.133712,0.001952,-0.968680,1.26,-2.87,0.28,-0.037088,-0.021472,-1.002840,1.40,-2.94,-0.56
0.040,-0.133712,0.000488,-0.967216,1.33,-2.80,0.42,-0.036600,-0.018544,-1.003816,1.40,-2.94,-0.42
0.060,-0.134688,0.002928,-0.968680,1.19,-2.80,0.35,-0.037576,-0.020984,-1.003816,1.40,-2.87,-0.35
0.080,-0.131760,0.001952,-0.968192,1.19,-2.87,0.35,-0.035624,-0.020008,-1.005768,1.40,-2.94,-0.42
0.100,-0.135664,0.000488,-0.967704,1.12,-2.87,0.35,-0.033672,-0.019520,-1.006256,1.40,-2.94,-0.35
0.120,-0.134200,0.002928,-0.965752,1.19,-2.80,0.42,-0.034160,-0.020984,-1.005280,1.47,-2.94,-0.49
0.140,-0.137128,0.002928,-0.968192,1.26,-2.94,0.35,-0.037576,-0.020496,-1.005768,1.33,-2.87,-0.42
0.160,-0.132736,0.003416,-0.967704,1.26,-2.87,0.42,-0.036600,-0.019520,-1.005768,1.47,-2.94,-0.42
0.180,-0.134688,0.001464,-0.967704,1.26,-2.80,0.42,-0.038064,-0.020984,-1.005768,1.26,-2.87,-0.42
0.200,-0.132248,0.001464,-0.967216,1.26,-2.87,0.42,-0.036600,-0.018056,-1.005768,1.33,-2.87,-0.49
0.220,-0.132248,0.002928,-0.966728,1.26,-2.87,0.42,-0.036112,-0.021472,-1.003816,1.33,-2.80,-0.35
0.240,-0.134200,0.000488,-0.967704,1.26,-2.87,0.42,-0.037088,-0.020984,-1.005768,1.40,-2.87,-0.42
0.260,-0.132248,0.001952,-0.968680,1.26,-2.94,0.35,-0.036112,-0.022936,-1.005768,1.26,-2.87,-0.35
0.280,-0.133712,-0.000488,-0.966728,1.33,-2.80,0.35,-0.037576,-0.019520,-1.004792,1.40,-2.87,-0.42
0.300,-0.132736,0.003416,-0.969168,1.19,-2.94,0.42,-0.038552,-0.020984,-1.006744,1.40,-2.87,-0.35
0.320,-0.132736,0.003904,-0.967704,1.26,-2.87,0.42,-0.035624,-0.021960,-1.004792,1.26,-2.87,-0.42
0.340,-0.133712,0.002440,-0.967704,1.19,-2.94,0.35,-0.036112,-0.020008,-1.004304,1.33,-2.80,-0.42
0.360,-0.135176,0.000976,-0.969168,1.26,-2.87,0.35,-0.038064,-0.021960,-1.005768,1.26,-2.87,-0.42
0.380,-0.135176,0.000488,-0.967216,1.33,-2.87,0.28,-0.037088,-0.018056,-1.004792,1.33,-2.80,-0.42
0.400,-0.134200,0.000488,-0.969168,1.26,-2.87,0.35,-0.035624,-0.020008,-1.004304,1.33,-2.87,-0.28
0.420,-0.133224,0.002928,-0.968192,1.26,-2.87,0.35,-0.038552,-0.020984,-1.005768,1.33,-2.87,-0.42
0.440,-0.135664,0.000488,-0.969656,1.19,-2.94,0.42,-0.037088,-0.020984,-1.002352,1.33,-2.87,-0.35
0.460,-0.134200,0.000000,-0.968192,1.26,-2.87,0.42,-0.036600,-0.022448,-1.006256,1.26,-2.87,-0.42
0.480,-0.135176,0.002928,-0.967704,1.26,-2.94,0.42,-0.038064,-0.021472,-1.006256,1.40,-2.80,-0.35
0.500,-0.134688,0.000976,-0.966728,1.26,-2.87,0.28,-0.038064,-0.020984,-1.003816,1.47,-2.87,-0.42
0.520,-0.132736,-0.000488,-0.967216,1.26,-2.87,0.35,-0.036600,-0.020496,-1.007232,1.33,-2.87,-0.35
0.540,-0.135176,0.002440,-0.969656,1.26,-2.94,0.28,-0.038064,-0.022936,-1.004792,1.40,-2.87,-0.35
0.560,-0.134200,0.001952,-0.968192,1.26,-3.01,0.35,-0.036112,-0.020984,-1.003816,1.33,-2.80,-0.42
0.580,-0.135664,0.002928,-0.967216,1.33,-2.94,0.35,-0.038064,-0.020496,-1.002840,1.40,-2.87,-0.42
0.600,-0.134200,0.001952,-0.968192,1.26,-2.94,0.42,-0.036600,-0.022448,-1.005280,1.33,-2.94,-0.42
0.620,-0.132248,0.001952,-0.968192,1.19,-2.94,0.28,-0.036112,-0.020984,-1.004792,1.40,-2.94,-0.42
0.640,-0.133712,0.000976,-0.965752,1.26,-2.87,0.35,-0.034648,-0.020496,-1.008696,1.40,-2.94,-0.42
0.660,-0.134200,-0.000488,-0.968192,1.26,-2.87,0.35,-0.036600,-0.020984,-1.003328,1.47,-2.87,-0.35
0.680,-0.133712,0.001952,-0.968680,1.26,-2.87,0.28,-0.035136,-0.021472,-1.005280,1.40,-3.01,-0.35
0.700,-0.135176,0.001952,-0.968192,1.12,-2.87,0.42,-0.038064,-0.020008,-1.003328,1.33,-2.87,-0.42
0.720,-0.132736,0.001952,-0.966728,1.33,-2.87,0.42,-0.037576,-0.020496,-1.005280,1.33,-2.94,-0.35
0.740,-0.135176,-0.000976,-0.966240,1.26,-2.80,0.28,-0.036600,-0.021472,-1.005280,1.40,-2.87,-0.42
0.760,-0.134200,0.000000,-0.968680,1.40,-2.87,0.35,-0.037576,-0.021472,-1.005280,1.40,-2.87,-0.35
0.780,-0.134200,0.002440,-0.968192,1.26,-2.87,0.35,-0.037576,-0.021960,-1.007232,1.40,-2.80,-0.49
0.800,-0.132248,0.000976,-0.969168,1.26,-2.87,0.28,-0.036600,-0.019520,-1.005768,1.40,-2.87,-0.49
0.820,-0.134200,0.001464,-0.967216,1.26,-3.01,0.35,-0.035624,-0.020496,-1.007720,1.40,-2.94,-0.42
0.840,-0.132248,0.000976,-0.968680,1.33,-2.80,0.35,-0.036112,-0.020008,-1.004792,1.40,-2.87,-0.49
0.860,-0.133712,0.000976,-0.968680,1.19,-2.94,0.35,-0.038552,-0.021960,-1.005768,1.40,-2.94,-0.42
0.880,-0.134688,0.000976,-0.969168,1.19,-2.80,0.28,-0.038552,-0.021472,-1.004304,1.33,-2.94,-0.42
0.900,-0.132736,0.000488,-0.968192,1.19,-2.87,0.42,-0.036112,-0.019520,-1.006744,1.40,-2.94,-0.35
0.920,-0.134688,0.002440,-0.969656,1.19,-2.87,0.28,-0.037576,-0.020496,-1.003816,1.40,-2.87,-0.35
0.940,-0.135176,0.003904,-0.968192,1.33,-2.94,0.28,-0.036112,-0.019520,-1.007232,1.33,-2.87,-0.49
0.960,-0.134688,0.001464,-0.968192,1.26,-2.87,0.35,-0.035624,-0.021472,-1.006256,1.33,-3.01,-0.35
0.980,-0.132736,0.001952,-0.969656,1.33,-2.87,0.42,-0.036600,-0.020008,-1.005280,1.47,-2.94,-0.49
1.000,-0.133224,0.003416,-0.967216,1.33,-2.87,0.35,-0.038552,-0.021472,-1.004304,1.47,-2.94,-0.35
1.020,-0.134688,0.000976,-0.970144,1.26,-2.87,0.35,-0.037088,-0.020496,-1.004792,1.47,-2.87,-0.42
1.040,-0.134200,0.001464,-0.967704,1.33,-2.87,0.35,-0.038552,-0.019520,-1.005768,1.26,-2.94,-0.28
1.060,-0.131760,0.001464,-0.968680,1.26,-2.94,0.42,-0.036600,-0.021960,-1.005280,1.40,-2.94,-0.49
1.080,-0.134200,0.002928,-0.969168,1.19,-2.87,0.28,-0.038064,-0.020008,-1.004792,1.40,-2.73,-0.28
1.100,-0.134200,0.001464,-0.967216,1.19,-2.87,0.35,-0.037576,-0.020008,-1.006256,1.40,-2.87,-0.42
1.120,-0.133712,0.001464,-0.968192,1.26,-2.87,0.21,-0.037088,-0.020984,-1.006744,1.33,-2.94,-0.42
1.140,-0.134200,0.001952,-0.969168,1.26,-2.87,0.35,-0.037088,-0.020496,-1.006256,1.33,-2.94,-0.35
1.160,-0.132248,0.002440,-0.969656,1.26,-2.94,0.35,-0.037088,-0.020496,-1.005768,1.40,-2.73,-0.49
1.180,-0.134200,0.002928,-0.968192,1.26,-2.87,0.35,-0.037088,-0.019520,-1.007232,1.40,-2.87,-0.42
1.200,-0.136152,0.001464,-0.969168,1.19,-2.80,0.35,-0.038064,-0.020496,-1.006744,1.33,-2.94,-0.49
1.220,-0.134200,0.001464,-0.968680,1.26,-2.80,0.28,-0.035624,-0.020984,-1.005768,1.33,-2.94,-0.35
1.240,-0.131760,0.002440,-0.969168,1.33,-2.87,0.35,-0.036600,-0.020984,-1.006256,1.33,-2.87,-0.42
1.260,-0.134200,0.000976,-0.969168,1.26,-2.80,0.28,-0.037576,-0.021472,-1.005280,1.33,-2.87,-0.35
1.280,-0.134688,-0.000488,-0.968680,1.33,-2.80,0.35,-0.038064,-0.022448,-1.007232,1.40,-2.94,-0.49
1.300,-0.132736,0.000976,-0.967216,1.33,-2.87,0.35,-0.038552,-0.020984,-1.006744,1.26,-2.80,-0.35
1.320,-0.133712,0.000488,-0.969656,1.26,-2.87,0.35,-0.036112,-0.019032,-1.006256,1.40,-2.94,-0.42
1.340,-0.134200,0.001952,-0.969168,1.26,-3.01,0.28,-0.037576,-0.020496,-1.004304,1.40,-2.66,-0.42
1.360,-0.134200,0.000976,-0.970632,1.19,-2.94,0.42,-0.036600,-0.021472,-1.006256,1.40,-2.87,-0.35
1.380,-0.134688,0.001952,-0.969656,1.19,-2.94,0.28,-0.036600,-0.019032,-1.007232,1.33,-2.87,-0.49
1.400,-0.133712,0.001464,-0.969168,1.26,-2.94,0.35,-0.036600,-0.020496,-1.004304,1.33,-2.87,-0.35
1.420,-0.132736,0.002440,-0.969656,1.26,-2.94,0.42,-0.037576,-0.020008,-1.006744,1.33,-2.87,-0.28
1.440,-0.133224,0.000976,-0.968680,1.33,-2.87,0.35,-0.035624,-0.020008,-1.003328,1.40,-2.80,-0.42
1.460,-0.134688,0.000000,-0.969656,1.26,-2.80,0.35,-0.036600,-0.020008,-1.005280,1.40,-2.87,-0.42
1.480,-0.133712,0.001464,-0.969168,1.33,-2.87,0.35,-0.035624,-0.020008,-1.006256,1.26,-2.87,-0.49
1.500,-0.133712,0.000000,-0.969656,1.33,-2.80,0.42,-0.037088,-0.022448,-1.005280,1.47,-2.87,-0.35
1.520,-0.133712,0.001952,-0.967704,1.26,-2.87,0.42,-0.035624,-0.020496,-1.004792,1.33,-2.80,-0.35
1.540,-0.131760,0.002440,-0.968680,1.33,-2.87,0.28,-0.035624,-0.021472,-1.003328,1.40,-2.80,-0.42
1.560,-0.134688,0.002928,-0.970144,1.26,-2.87,0.42,-0.037576,-0.021960,-1.006744,1.33,-2.87,-0.49
1.580,-0.135176,0.002928,-0.969656,1.33,-2.94,0.35,-0.039040,-0.020984,-1.005768,1.40,-2.87,-0.49
1.600,-0.134200,-0.000488,-0.965752,1.19,-2.87,0.42,-0.035624,-0.019520,-1.003816,1.33,-2.87,-0.35
1.620,-0.134200,0.000976,-0.970144,1.26,-2.87,0.42,-0.035624,-0.020496,-1.004304,1.40,-2.80,-0.42
1.640,-0.135664,0.001464,-0.968680,1.19,-2.87,0.42,-0.035624,-0.021472,-1.004304,1.40,-2.87,-0.42
1.660,-0.135176,0.001952,-0.967704,1.19,-2.94,0.35,-0.038064,-0.019032,-1.005280,1.33,-2.87,-0.42
1.680,-0.132736,0.000488,-0.969168,1.26,-3.01,0.49,-0.039040,-0.020984,-1.006256,1.40,-2.87,-0.49
1.700,-0.135664,0.001952,-0.967704,1.19,-2.87,0.28,-0.036600,-0.020984,-1.008208,1.40,-2.80,-0.42
1.720,-0.133224,0.002440,-0.967704,1.26,-2.87,0.21,-0.036600,-0.022936,-1.005280,1.47,-2.80,-0.42
1.740,-0.134200,0.000976,-0.970632,1.26,-2.94,0.35,-0.037088,-0.020008,-1.004792,1.33,-2.94,-0.42
1.760,-0.134200,0.000488,-0.969168,1.26,-2.94,0.35,-0.034648,-0.021960,-1.004304,1.40,-2.80,-0.49
1.780,-0.131760,0.001464,-0.967704,1.19,-2.94,0.42,-0.036600,-0.023424,-1.008208,1.33,-2.94,-0.42
1.800,-0.133712,0.000976,-0.970144,1.19,-2.80,0.35,-0.036600,-0.020984,-1.004792,1.40,-2.94,-0.42
1.820,-0.134200,0.001464,-0.970144,1.26,-2.94,0.35,-0.036600,-0.020984,-1.007232,1.47,-2.87,-0.49
1.840,-0.134200,0.002440,-0.969168,1.26,-2.94,0.35,-0.037088,-0.021960,-1.009184,1.33,-2.80,-0.42
1.860,-0.134688,0.002440,-0.969656,1.33,-2.80,0.42,-0.036600,-0.020496,-1.006744,1.33,-2.87,-0.42
1.880,-0.133712,0.001952,-0.968680,1.26,-2.87,0.35,-0.038552,-0.021960,-1.006744,1.33,-2.94,-0.49
1.900,-0.135176,0.002928,-0.969656,1.19,-2.87,0.28,-0.034648,-0.019520,-1.005280,1.33,-2.94,-0.42
1.920,-0.133712,0.000488,-0.967704,1.26,-2.87,0.35,-0.039040,-0.022448,-1.004792,1.26,-2.87,-0.42
1.940,-0.135664,0.003904,-0.969168,1.19,-2.94,0.28,-0.039528,-0.020008,-1.002840,1.33,-2.80,-0.35
1.960,-0.133224,0.002440,-0.966728,1.19,-2.94,0.35,-0.037576,-0.019520,-1.005768,1.40,-2.87,-0.42
1.980,-0.132248,0.002440,-0.969168,1.26,-2.80,0.35,-0.037576,-0.020984,-1.005768,1.40,-2.87,-0.42
